sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3,m_at_home,m_health,m_other,m_services,m_teacher,f_at_home,f_health,f_other,f_services,f_teacher,course,home,other,reputation,father,mother,other
0,18,1,1,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,17,1,1,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,15,1,0,1,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,15,1,1,1,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,16,1,1,1,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,16,1,0,1,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1,16,1,0,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,17,1,1,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,15,1,0,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,19,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,15,1,1,1,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,15,1,1,1,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
0,15,1,1,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,12,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,15,1,0,1,4,4,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,15,1,1,1,4,3,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,11,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,15,1,1,0,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,16,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,16,1,1,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,16,1,1,1,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,14,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,16,1,1,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,17,1,1,1,3,2,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,16,1,0,1,4,3,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,15,1,1,1,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,15,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,15,1,1,1,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1,16,1,0,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,16,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,16,1,0,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,15,0,1,1,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,16,1,1,1,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,15,1,1,1,2,2,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,15,1,1,1,4,2,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,16,1,0,0,3,4,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,16,1,1,1,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,11,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1,15,1,1,1,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,15,1,1,1,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
1,15,0,1,1,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,16,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,15,1,0,1,3,3,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,16,1,1,1,3,2,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,15,1,1,1,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,6,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,15,1,0,1,4,3,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,18,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,16,0,1,0,4,4,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0,15,0,1,1,3,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,11,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,15,0,1,1,2,2,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,13,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,16,1,0,1,2,2,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,15,1,0,1,4,4,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1,15,1,1,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,18,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,15,1,1,1,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,11,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,16,1,0,1,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,15,1,0,0,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,16,1,0,0,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,16,1,1,1,4,3,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,20,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1,15,1,1,1,4,2,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,14,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,15,1,1,1,4,4,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
0,16,1,0,1,2,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,13,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,15,1,0,1,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,13,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,15,1,0,0,4,2,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
0,15,1,1,1,4,4,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,11,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,15,1,0,0,3,3,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,13,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,16,1,1,0,2,1,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,15,1,1,0,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
1,15,1,1,1,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,15,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
1,15,1,0,1,1,2,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,16,1,1,1,4,2,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,16,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,16,0,1,1,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,11,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,16,1,1,1,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,11,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,16,1,0,1,1,2,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,9,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0,16,1,1,1,4,3,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,9,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,15,1,0,1,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,16,1,0,1,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,15,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,15,1,1,0,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,12,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,16,1,1,1,3,1,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,15,0,0,1,2,2,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,15,0,0,1,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1,16,1,1,1,3,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,15,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1,15,1,1,1,4,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,15,0,1,1,1,1,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,16,1,1,1,3,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,14,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,16,1,1,1,3,3,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,15,1,1,1,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,10,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,15,1,1,1,4,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,10,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,16,1,1,1,2,2,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,17,1,1,1,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,16,1,1,1,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,15,1,1,1,2,3,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,12,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,15,1,1,1,2,3,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,15,1,0,1,3,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1,15,1,0,1,2,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,15,1,1,1,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,15,1,1,1,4,4,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,8,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,16,1,0,1,2,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,15,1,1,1,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,14,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,16,1,1,1,2,2,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,10,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,16,1,0,0,4,4,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,7,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
0,16,1,1,1,3,3,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,15,1,1,1,4,3,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,18,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
0,16,1,0,1,3,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,6,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,16,1,1,1,4,2,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,10,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,15,1,0,1,2,2,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,14,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
0,15,0,1,1,1,1,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,16,0,1,1,4,3,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
0,16,1,1,1,2,1,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,16,1,1,1,4,4,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,14,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,16,1,1,1,4,3,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,16,1,1,1,4,4,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1,16,1,1,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,17,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1,15,1,1,1,4,4,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,14,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,15,1,1,1,3,2,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,15,1,1,0,3,4,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,18,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,15,1,1,0,3,3,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0,15,1,1,1,2,2,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,16,1,1,1,3,3,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,18,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,15,0,1,1,4,4,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,13,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,16,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1,15,1,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,19,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0,16,0,1,1,3,3,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
0,16,1,1,1,2,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,15,1,0,1,4,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,19,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,15,0,1,1,2,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1,16,1,1,1,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,16,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
1,15,1,1,1,4,4,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,14,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1,16,1,1,1,3,3,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,17,0,1,1,1,3,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,15,1,1,1,3,4,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,13,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,15,1,1,1,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,15,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,15,1,1,1,2,2,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,15,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,16,1,0,1,2,4,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,16,1,1,1,4,4,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,13,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,16,1,1,1,2,2,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,15,1,1,1,3,4,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,12,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,15,1,0,0,3,4,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,19,1,1,1,0,1,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,18,0,1,1,2,2,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
